streetLine1,postalCode,city,state,longitude,latitude
"930 Chemin du Fleuve","J7T0C9","Les Cèdres","Montérégie","-74.04947881613623","45.3048049267022"
"2743 Rue des Bégonias","J7V0G6","Vaudreuil-Dorion","Montérégie","-74.03707192457264","45.38718398259154"
"17 Rue de l'Anse","J7V9A5","L'Île-Perrot","Montérégie","-73.94409001304919","45.3920289233277"
"111 Boulevard de l'Île","J7W9B3","Pincourt","Montérégie","-73.98082141179862","45.38606709936052"
"529 Rue Trudeau","J7V7J9","Vaudreuil-Dorion","Montérégie","-74.01966048607923","45.37405460049811"
"131 Rue Saint-Pierre","J0P1P0","Rigaud","Montérégie","-74.3024851414669","45.4777457894109"
"50 Rue Saint-Jean-Baptiste Ouest","J0P1P0","Rigaud","Montérégie","-74.30996903378447","45.48497288209949"
"24 Rue Riley","J7V0K3","Vaudreuil-Dorion","Montérégie","-74.22617461790597","45.44388202223337"
"698 Rue Ladder","J0P1P0","Rigaud","Montérégie","-74.31790783544001","45.49431976075356"
"93 5e Avenue","J7W5K8","Pincourt","Montérégie","-73.99372181699059","45.38196274402907"
"364 Boulevard Perrot","J7V3G6","L'Île-Perrot","Montérégie","-73.94896300944882","45.39290975614618"
"206 Avenue Duffy","J7V2Z4","Vaudreuil-Dorion","Montérégie","-74.02608899084008","45.38301483016484"
"782 Rue Pie-XII","J7V8R3","Vaudreuil-Dorion","Montérégie","-74.02821349864217","45.37119880749651"
"105 Boulevard Don-Quichotte","J7V6X2","L'Île-Perrot","Montérégie","-73.96014794307642","45.38787000829035"
"251 Rue Cherrystone","J7W3V6","Pincourt","Montérégie","-73.98294386959718","45.37887725605049"
"115 Montée de la Côte-Double","J7V0H4","Vaudreuil-Dorion","Montérégie","-74.00537068370713","45.36039470660946"
"215 Place Charles-Le Moyne","J5C0A2","Sainte-Catherine","Montérégie","-73.5480086019738","45.4005766814351"
"60 Avenue Grégoire","J5R5N5","Candiac","Montérégie","-73.5327284150831","45.3832327175577"
"74 Avenue Grégoire","J5R5N5","Candiac","Montérégie","-73.5326521327904","45.3838986553381"
"19 Rue de Ségovie","J5R0A4","Candiac","Montérégie","-73.5075726043471","45.3693436051036"
"188 Rue d'Émeraude","J5R0S1","Candiac","Montérégie","-73.513538029856","45.3969949631444"
"12 Rue Brosseau","J5A0B1","Saint-Constant","Montérégie","-73.5600499981879","45.3664391138287"
"2769 Boulevard Perrot","J7W2P6","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.9492787517653","45.3537643948903"
"23 56e Avenue","J7W0H1","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.91765474504973","45.38878129617086"
"689 Rue Pie-XII","J7V8S2","Vaudreuil-Dorion","Montérégie","-74.02692020611228","45.373526351692"
"270 Rue Valois","J7V1T4","Vaudreuil-Dorion","Montérégie","-74.01725238273143","45.38386656838165"
"9 Rue Bruno-Sauvé","J0P1B0","Coteau-du-Lac","Montérégie","-74.18318500938169","45.29289686289757"
"500 22e Avenue","J7V5Z2","L'Île-Perrot","Montérégie","-73.95635016334285","45.38562738812326"
"20 Rue Riley","J7V0K3","Vaudreuil-Dorion","Montérégie","-74.22603961601635","45.44431483367342"
"233 Rue Daoust","J7T3C3","Les Cèdres","Montérégie","-74.051608117188","45.30871811940472"
"373 Chemin Saint-Georges","J0P1P0","Rigaud","Montérégie","-74.32533630804856","45.45361483511939"
"739 Rue Trudeau","J7V8S2","Vaudreuil-Dorion","Montérégie","-74.02699208076224","45.373022183739"
"262 Route 338","J7X1A2","Les Coteaux","Montérégie","-74.2143050746825","45.25771111486932"
"505 Rue des Arbrisseaux","J7W0M1","Pincourt","Montérégie","-73.97977963055081","45.37462527542006"
"29 Rue du Parc-Max-Séjour","J7T1G5","Les Cèdres","Montérégie","-74.06681633253072","45.34651026847282"
"11 Rue Richer","J7V6C3","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.93733802425493","45.38760076325431"
"2185 Rue Phil-Goyette","J7V3B5","Vaudreuil-Dorion","Montérégie","-74.05235016692646","45.39088100131342"
"136 Rue des Sureaux","J7V3V5","Vaudreuil-Dorion","Montérégie","-74.0336298538721","45.3822344650527"
"338 Rue Main","J0P1H0","Hudson","Montérégie","-74.126655058531","45.45403694407599"
"176 Rue De Tonnancour","J7V9R1","Vaudreuil-Dorion","Montérégie","-74.03950336913896","45.37564530434589"
"3015 Rue Forest","J7T2B1","Saint-Lazare","Montérégie","-74.17436649643949","45.42903706061107"
"3103 Rue Pine Tree","J7T2J3","Saint-Lazare","Montérégie","-74.18087400938866","45.42711781248082"
"20 Rue Kilteevan","J0P1H0","Hudson","Montérégie","-74.13499490778867","45.44963865206022"
"2960 Boulevard Perrot","J7W3B4","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.96525915283914","45.35235951810589"
"2 Rue Gabrielle-Roy","J7W1L1","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.87023371333173","45.36282168013313"
"34 Rue Jeannotte","J7V1E5","Vaudreuil-Dorion","Montérégie","-74.03032285347147","45.39743797527903"
"5 Rue Léo-Ayotte","J7W1S7","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.93377374091737","45.37908357291307"
"6 Rue de Lourdes","J0P1P0","Rigaud","Montérégie","-74.30323790450954","45.47221543057453"
"162 Rue des Merisiers","J7V9S9","Vaudreuil-Dorion","Montérégie","-74.02752049166543","45.38316118353465"
"2864 Rue Steeplechase","J7T2B1","Saint-Lazare","Montérégie","-74.16868956039687","45.42664987803666"
"898 Chemin Sainte-Angélique","J7T2A6","Saint-Lazare","Montérégie","-74.10746922727598","45.38067609274322"
"54 8e Avenue","J7W5H9","Pincourt","Montérégie","-73.9942810848383","45.37873881260125"
"144 Rue Sainte-Geneviève","J7T0C4","Les Cèdres","Montérégie","-74.05158432716418","45.30756083485316"
"105 Rue Marie-Rollet","J7V8Z8","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.93666943650113","45.38369783756116"
"37 Rue Bernard Nord","J0P1P0","Rigaud","Montérégie","-74.32357705842975","45.49352313692656"
"579 Chemin Ranger","J0P1S0","Saint-Polycarpe","Montérégie","-74.25520896759556","45.29837441164238"
"55 Rue Benoit","J7V8P5","Vaudreuil-Dorion","Montérégie","-74.05642902980092","45.41811849485651"
"412 Avenue Marier","J7V0R4","Vaudreuil-Dorion","Montérégie","-74.0348143665255","45.38359116094342"
"3 Place Jasper","J5R4E7","Candiac","Montérégie","-73.5268088783115","45.3940056530535"
"108 Place Mercure","J5R1B2","Candiac","Montérégie","-73.5305924553716","45.3991069715181"
"78 Place Jason","J5R3P9","Candiac","Montérégie","-73.5283929566512","45.3944911721466"
"66 Rue Boyer","J5A1X2","Saint-Constant","Montérégie","-73.5768675837294","45.3701453712501"
"97 Avenue de Dompierre","J5R6P5","Candiac","Montérégie","-73.4997830234201","45.3751295144483"
"5 Rue Serey","J7W3K1","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.91924016007458","45.38730867102932"
"294 Rue Boileau","J7V8A2","Vaudreuil-Dorion","Montérégie","-74.0454347410343","45.40156368330763"
"902 Rue des Sorbiers","J7W0C9","Pincourt","Montérégie","-73.98025523613835","45.36746030019745"
"14 Rue Wharf","J0P1H0","Hudson","Montérégie","-74.13867123720763","45.46176316383403"
"2403 Rue Stagecoach","J7T2A1","Saint-Lazare","Montérégie","-74.14955241634142","45.4305307660456"
"102 Rue Larivée","J7V8P5","Vaudreuil-Dorion","Montérégie","-74.0576154771988","45.41663692054231"
"245 Rue Rompré","G0A4L0","Saint-Ubalde","Capitale-Nationale","-72.2674757124265","46.7549736973546"
"352 25e Avenue","J7V6L1","L'Île-Perrot","Montérégie","-73.9494969050876","45.38616773000678"
"1344 Chemin Sainte-Angélique","J7T1Z5","Saint-Lazare","Montérégie","-74.12049148485643","45.39332115103991"
"141 Rue Cameron","J0P1H0","Hudson","Montérégie","-74.14731802599614","45.45082619899485"
"2592 Croissant de Barnsby","J7T2A1","Saint-Lazare","Montérégie","-74.15504531617499","45.42919459376486"
"319 Rue Marc-André","J5K2A2","Saint-Colomban","Laurentides","-74.08179116855912","45.74589258901796"
"410 Rue Marc-André","J5K2A2","Saint-Colomban","Laurentides","-74.07228542599358","45.75030819094577"
"404 Rue Marc-André","J5K2A2","Saint-Colomban","Laurentides","-74.0736794546492","45.74962608110857"
"896 Chemin des Hauteurs","J8A1J1","Saint-Hippolyte","Laurentides","-74.0046293258091","45.8709066085321"
"297 Rue Toe-Blake","J7V0J6","Vaudreuil-Dorion","Montérégie","-74.04698164137588","45.39379593989923"
"901 Rue de la Vallée","J7W0H6","Pincourt","Montérégie","-73.96928661534417","45.37951862961152"
"42 Chemin Saint-Georges","J0P1P0","Rigaud","Montérégie","-74.23785699079946","45.44271653855508"
"826 Rue Chicoine","J7V8S9","Vaudreuil-Dorion","Montérégie","-74.0299378940786","45.37073893152746"
"635 Rue Séguin","J5C1H6","Sainte-Catherine","Montérégie","-73.5653792980667","45.3981219767866"
"173 Rue Saint-Alexandre","J5A1X6","Saint-Constant","Montérégie","-73.5735205807404","45.3685367933025"
"68 Rue Métras","J5A1R4","Saint-Constant","Montérégie","-73.5877384442281","45.3853063384299"
"100 Avenue de Dijon","J5R0L8","Candiac","Montérégie","-73.501068731089","45.3754161794368"
"97 Boulevard Montcalm Nord","J5R0R8","Candiac","Montérégie","-73.5174122925497","45.3945569818181"
"351 Rue d'Ambre","J5R0S2","Candiac","Montérégie","-73.5174357141526","45.3961439003465"
"525 Rue de la Providence","J5C2A6","Sainte-Catherine","Montérégie","-73.5444469546431","45.3947651235203"
"50 Rue Laplante","J5A1M4","Saint-Constant","Montérégie","-73.5769283527189","45.3868470990886"
"44 Rue du Lac","J7X1A1","Les Coteaux","Montérégie","-74.20626518204587","45.25666320196697"
"884 Rue Principale","J0P1R0","Rivière-Beaudette","Montérégie","-74.32818913118618","45.22628282793842"
"276 Rue Larivée","J7V9R3","Vaudreuil-Dorion","Montérégie","-74.06024617776862","45.41649811357561"
"532 Rue Main","J0P1J0","Hudson","Montérégie","-74.14564480971649","45.46104903278744"
"241 Rue des Plaines","J7X1N4","Les Coteaux","Montérégie","-74.21201745523585","45.26326864912866"
"132 Rue Frédéric","J7X0A4","Les Coteaux","Montérégie","-74.23101750079277","45.27028465444011"
"15 Rue Pagé","J0P1P0","Rigaud","Montérégie","-74.29563068083","45.47784783511511"
"3547 Rue Napoléon-Parent","J7V8P5","Vaudreuil-Dorion","Montérégie","-74.05754139507006","45.41559349443628"
"20 Avenue de la Promenade","J7W9C1","Pincourt","Montérégie","-73.99723459692645","45.38209139579119"
"93 9e Avenue","J7V8V1","L'Île-Perrot","Montérégie","-73.95289054235069","45.39535056848468"
"134 Chemin Duhamel","J7W4C8","Pincourt","Montérégie","-73.99776973655814","45.37967535824427"
"357 Rue Bellini","J7V0M7","Vaudreuil-Dorion","Montérégie","-74.04407730555907","45.38249648477645"
"413 Rue Claude-Léveillé","J7V0Y7","Vaudreuil-Dorion","Montérégie","-74.04623791937085","45.37781341877385"
"980 Rue des Nénuphars","J7V0V9","Vaudreuil-Dorion","Montérégie","-74.0422671747056","45.38800849179575"
"4620 Rue des Sittelles","J5C1R5","Sainte-Catherine","Montérégie","-73.5645912497674","45.3904062688845"
"147 1re Avenue","J5A2E5","Saint-Constant","Montérégie","-73.5725670675396","45.3716330378005"
"46 Rue de Sofia","J5R0R6","Candiac","Montérégie","-73.5154469666253","45.3674616652306"
"545 Rue des Cascades","J5C1Y4","Sainte-Catherine","Montérégie","-73.5506392409156","45.3991603825103"
"6080 Place des Cageux","J5C0E1","Sainte-Catherine","Montérégie","-73.5851174497184","45.3953236847302"
"3 Boulevard Montcalm Nord","J5R3L4","Candiac","Montérégie","-73.5159116800885","45.393023018351"
"2079 Rue du Forgeron","J7T2E6","Saint-Lazare","Montérégie","-74.14244370684615","45.41449946756672"
"2150 Croissant des Souchets","J7V9R5","Vaudreuil-Dorion","Montérégie","-74.01818929717729","45.41286333321808"
"589 Boulevard Cardinal-Léger","J7W6N9","Pincourt","Montérégie","-73.98524059987271","45.36674645286407"
"1922 Chemin du Fleuve","J7T1E4","Les Cèdres","Montérégie","-74.11933313619897","45.31061153596469"
"700 Rue des Châtaigniers","J7W0C5","Pincourt","Montérégie","-73.9805216223066","45.36876400287082"
"113 Rue de l'École","J7X1A1","Les Coteaux","Montérégie","-74.21422995881895","45.25680263173533"
"695 Boulevard Perrot","J7V2J7","L'Île-Perrot","Montérégie","-73.93848759953867","45.39258154340326"
"8 Rue de la Banque","J0P1P0","Rigaud","Montérégie","-74.30226595834498","45.47763036429625"
"30 Rue des Merles","J0P1B0","Coteau-du-Lac","Montérégie","-74.18340102718787","45.28479763034252"
"32 Rue Isabelle","J0P1B0","Coteau-du-Lac","Montérégie","-74.17701433458214","45.29910648640893"
"163 Rue Marcel-Dostie","J7X0C1","Les Coteaux","Montérégie","-74.22925410375927","45.27388438051729"
"500 22e Avenue","J7V5Z2","L'Île-Perrot","Montérégie","-73.95635016334285","45.38562738812326"
"31 Rue Pauline-Julien","J7W1Z4","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.87142086274258","45.36868507623829"
"36 Rue des Prés","J0P1B0","Coteau-du-Lac","Montérégie","-74.18612578880996","45.28029094179384"
"12 Rue du Parc","J0P1B0","Coteau-du-Lac","Montérégie","-74.1752353736528","45.29491586578059"
"40 Place Papineau","J5R6B5","Candiac","Montérégie","-73.5061135296075","45.3987204312972"
"1164 Boulevard des Écluses","J5C2B2","Sainte-Catherine","Montérégie","-73.5567054077238","45.3931777805892"
"4150 Boulevard Saint-Laurent","J5C2A9","Sainte-Catherine","Montérégie","-73.5550147623262","45.3943355033756"
"4510 Place du Grand-Duc","J5C0B8","Sainte-Catherine","Montérégie","-73.5631625761829","45.3893267251325"
"510 Rue Brébeuf","J5C1H7","Sainte-Catherine","Montérégie","-73.5643637254536","45.3991646608505"
"14 Rue Rousseau","J5A0K1","Saint-Constant","Montérégie","-73.608554836422","45.3794094447368"
"24 Rue Dupuis","J0L2A0","Saint-Isidore","Montérégie","-73.6779282189256","45.3021342557992"
"95 Boulevard Montcalm Nord","J5R0R8","Candiac","Montérégie","-73.5179086083016","45.3946496657341"
"8 Rue de l'Oseraie","J5A1K3","Saint-Constant","Montérégie","-73.5785042361809","45.3812938339148"
"99 22e Avenue","J7W4S5","Pincourt","Montérégie","-73.98732868313951","45.36461385674213"
"24 Rue De Longueuil","J0P1B0","Coteau-du-Lac","Montérégie","-74.16085408453371","45.30263095709682"
"9 Rue des Saphirs","J7V9N5","L'Île-Perrot","Montérégie","-73.9689856508766","45.38893469511587"
"24 Rue Mont-Bleu","J7W8E8","Pincourt","Montérégie","-73.97515317018592","45.37713692069524"
"44 Rue Lippé","J7X1H6","Les Coteaux","Montérégie","-74.23670379589738","45.27479116518901"
"1529 Rue des Tourterelles","J7T0R2","Saint-Lazare","Montérégie","-74.18392641387825","45.4070984859932"
"546 Avenue du Parc","J7V6C6","Vaudreuil-Dorion","Montérégie","-74.02177447047535","45.37485479165579"
"3171 Boulevard de la Gare","J7V0V7","Vaudreuil-Dorion","Montérégie","-74.0465910347953","45.403390802415"
"930 Chemin du Fleuve","J7T0C9","Les Cèdres","Montérégie","-74.04947881613623","45.3048049267022"
"167 Place Lilas","J7W5B6","Pincourt","Montérégie","-73.98111551269352","45.3770852455327"
"1029 Rue des Aventuriers","J7T0A2","Saint-Lazare","Montérégie","-74.11368526075071","45.38870557956962"
"420 Rue Boileau","J7V0M6","Vaudreuil-Dorion","Montérégie","-74.0484803683381","45.40062918879598"
"1500 Rue Émile-Bouchard","J7V3V6","Vaudreuil-Dorion","Montérégie","-74.05114805999834","45.39604298893138"
"115 Rue Lartigue","J7V6G9","Vaudreuil-Dorion","Montérégie","-74.03940840777949","45.40190378512849"
"685 Avenue Bourbonnais","J7V8R5","Vaudreuil-Dorion","Montérégie","-74.02496533023232","45.37198766080017"
"4041 Rue Phil-Goyette","J7V3N6","Vaudreuil-Dorion","Montérégie","-74.05272153836903","45.39325241324156"
"10 Boulevard Notre-Dame","G3H3K5","Pont-Rouge","Capitale-Nationale","-71.7007493925923","46.7567621668343"
"4 Rue Saint-André","G0A3B0","Saint-Alban","Capitale-Nationale","-72.0790133219172","46.7201375368183"
"540 Rue Saint-Cyrille","G3L1V2","Saint-Raymond","Capitale-Nationale","-71.8265096057227","46.892991569075"
"205 Rue des Merises","G3L2X4","Saint-Raymond","Capitale-Nationale","-71.8002522271275","46.9056684736112"
"464 Rue Principale","G0S3J0","Vallée-Jonction","Chaudière-Appalaches","-70.9190516342771","46.3695349678295"
"1350 8e Avenue","G9T1Z2","Shawinigan","Mauricie","-72.70317124487244","46.60994745685785"
"261 Rue Saint-François","G0A2Y0","Portneuf","Capitale-Nationale","-71.8927304425834","46.7123990887428"
"33 Rue Lachapelle","J3P5N3","Sainte-Anne-de-Sorel","Montérégie","-73.02388936576112","46.06119261534973"
"501 Rue Monseigneur-Vachon","G3L1C3","Saint-Raymond","Capitale-Nationale","-71.8304695457171","46.8961264529987"
"2631 Rue de Bonaventure","J7T3L4","Saint-Lazare","Montérégie","-74.171490320782","45.38618812423513"
"3881 Chemin du Lac-à-la-Hache","G0A4L0","Saint-Ubalde","Capitale-Nationale","-72.2283359417765","46.833701199745"
"3831 Chemin du Lac-à-la-Hache","G0A4L0","Saint-Ubalde","Capitale-Nationale","-72.2280923723923","46.8306936945692"
"1299 Montée Léger","J7T1E9","Les Cèdres","Montérégie","-74.09154527434852","45.34260536539675"
"105 Boulevard Don-Quichotte","J7V6X2","L'Île-Perrot","Montérégie","-73.96014794307642","45.38787000829035"
"293 7e Rue","J7V5Z4","L'Île-Perrot","Montérégie","-73.95572340795955","45.38709668134199"
"576 Rue Pie-XII","J7V1Z8","Vaudreuil-Dorion","Montérégie","-74.02314091203384","45.3748935652281"
"468 Rang Saint-Paul Nord","G0A4L0","Saint-Ubalde","Capitale-Nationale","-72.2727194089167","46.7590490878085"
"2 Rue de l'Olivier","J5A1K8","Saint-Constant","Montérégie","-73.5781441074934","45.3793773699295"
"1485 Rue McNeil","J5C1J9","Sainte-Catherine","Montérégie","-73.5759823987858","45.3956822953441"
"99 Chemin Duhamel","J7W4C6","Pincourt","Montérégie","-73.99829816999524","45.3820238755774"
"1175 Rue Émile-Bouchard","J7V0B7","Vaudreuil-Dorion","Montérégie","-74.04879638936644","45.39310845448419"
"475 Avenue Ranger","J7V2X7","Vaudreuil-Dorion","Montérégie","-74.01824131324027","45.37523986005304"
"145 Rue des Sureaux","J7V3V5","Vaudreuil-Dorion","Montérégie","-74.03501233331409","45.38328454505339"
"1410 Rue Georges-Vézina","J7V3E6","Vaudreuil-Dorion","Montérégie","-74.0511417766262","45.39118076718749"
"383 Rue du Clos-des-Réas","J0R1T0","Prévost","Laurentides","-74.05499031108457","45.83366734533428"
"1112 Rue des Trilles","J0R1T0","Prévost","Laurentides","-74.05090604254795","45.84950650491904"
"124 Rue de Valmont","J5J0P4","Sainte-Sophie","Laurentides","-73.98574688043483","45.81731124501449"
"136 Rue Guay","J7Y0G6","Saint-Jérôme","Laurentides","-73.99100827348863","45.79891960783997"
"180 Rang Caroline","J0G1L0","Saint-David","Montérégie","-72.8827520983762","45.9164379403353"
"600 Chemin du Lac-Bertrand","J8A1C4","Saint-Hippolyte","Laurentides","-73.97643634858329","45.86743217691055"
"473 Rue Fournier","J7Z4V2","Saint-Jérôme","Laurentides","-74.00102720226226","45.77941579506379"
"11 Rue Thibault","J8A2L8","Saint-Hippolyte","Laurentides","-74.01159447086982","45.9112128139286"
"1319 Rue des Rameaux","J0R1T0","Prévost","Laurentides","-74.04537785644843","45.82799611342927"
"1531 Rue du Baron","J1E1E3","Sherbrooke","Estrie","-71.8889185516284","45.4296715336229"
"39 Rue de Lourmarin","J7B1Y3","Blainville","Laurentides","-73.82962718576162","45.66818193547689"
"912 Boulevard du Curé-Labelle","J7C2L2","Blainville","Laurentides","-73.87786135037123","45.67280959783393"
"911 3e Rang","G0R3Y0","Saint-Paul-de-Montminy","Chaudière-Appalaches","-70.2986892023777","46.7957085225489"
"18 Rue Turgeon","J7E3H3","Sainte-Thérèse","Laurentides","-73.8413982819454","45.63891220202805"
"526 Chemin des Gaudet (Cap-aux-Meules)","G4T1A8","Les Îles-de-la-Madeleine","Gaspésie–Îles-de-la-Madeleine","-61.8684524861726","47.3824407719609"
"115 Rue Hocquart","J1G3B7","Sherbrooke","Estrie","-71.8614600283496","45.4062995376797"
"1061 Rue du Havre","J1G0B7","Sherbrooke","Estrie","-71.8782739067684","45.3919477486165"
"1608 Chemin de l'Étang-du-Nord","G4T3C2","Les Îles-de-la-Madeleine","Gaspésie–Îles-de-la-Madeleine","-61.9293029745499","47.3752898368747"
"2582 Rue King Est","J1G5H1","Sherbrooke","Estrie","-71.8341096285977","45.4132566764587"
"331 Chemin Léonard-Aucoin","G4T2A8","Les Îles-de-la-Madeleine","Gaspésie–Îles-de-la-Madeleine","-61.8831474905416","47.4102134257027"
"139 Rue Sicard","J7E3X2","Sainte-Thérèse","Laurentides","-73.85528966515642","45.64084945374506"
"1481 Chemin de l'Étang-du-Nord","G4T3C1","Les Îles-de-la-Madeleine","Gaspésie–Îles-de-la-Madeleine","-61.9187597713386","47.3738081641754"
"930 Place Pigeon","J7E5M9","Sainte-Thérèse","Laurentides","-73.87273871595822","45.65767979078837"
"552 Rue Papineau","J7G2T7","Boisbriand","Laurentides","-73.82666400821266","45.62306515044499"
"39 Rue Ouimet","J7E2P7","Sainte-Thérèse","Laurentides","-73.81797026129422","45.63950147409766"
"2665 Rue de l'Atlas","J1E0C7","Sherbrooke","Estrie","-71.8345190031867","45.4219981291308"
"202 Chemin Principal","G4T1C7","Les Îles-de-la-Madeleine","Gaspésie–Îles-de-la-Madeleine","-61.8605858635601","47.3795692429651"
"12 Rue de Chambord","J7B1L1","Blainville","Laurentides","-73.81500854855537","45.65663345155987"
"169 Rue du Poitou","G0A2R0","Neuville","Capitale-Nationale","-71.5448586268767","46.7167588663549"
"1030 Rue des Francs-Bourgeois","J7H0H8","Boisbriand","Laurentides","-73.85291220102707","45.62713351425275"
"673 Chemin du Lac","G0A2R0","Neuville","Capitale-Nationale","-71.5923110773205","46.7273556408379"
"1021 Chemin du Plan-Bouchard","J7C4N4","Blainville","Laurentides","-73.87301219905619","45.68174344834737"
"303 Chemin Lomer","G0A2R0","Neuville","Capitale-Nationale","-71.5977165239432","46.7448240214801"
"213 Boulevard René-A.-Robert","J7E4L1","Sainte-Thérèse","Laurentides","-73.81939509729409","45.64416753160889"
"179 Rue de Neuville-en-Ferrain","J5N2V4","Sainte-Anne-des-Plaines","Laurentides","-73.81098380430116","45.76759055031396"
"19 Rue Napoléon","J7E1H4","Sainte-Thérèse","Laurentides","-73.83666265659352","45.63425613315707"
"3870 Rue Jacques-Beauchamp","J7H1L5","Boisbriand","Laurentides","-73.86645508774365","45.62939061997757"
"58 Rue Saint-Joseph","J7E3L6","Sainte-Thérèse","Laurentides","-73.84241409241025","45.63797348305608"
"468 Rue Marie-Thérèse","J7E2J4","Sainte-Thérèse","Laurentides","-73.85369442848268","45.65127952493739"
"1133 2e Rang","G0A2R0","Neuville","Capitale-Nationale","-71.6415064516386","46.7131793927462"
"1330 Rue Papineau","J1E4B9","Sherbrooke","Estrie","-71.8595388676401","45.4154246535106"
"13 Boulevard de Chambéry","J7C1L5","Blainville","Laurentides","-73.81180102039069","45.67562194722282"
"21 Rue des Favoles","J7C5T3","Blainville","Laurentides","-73.83863082313196","45.65658396835869"
"98 Rue Jean-Talon","J1G3B2","Sherbrooke","Estrie","-71.8619568334197","45.4065300345863"
"1084 Rue des Pins","J7C1V2","Blainville","Laurentides","-73.88069180136442","45.6810349428878"
"1 Rue du Voltigeur","J7C5P4","Blainville","Laurentides","-73.89547288556874","45.69641668849398"
"303 Chemin du Bas-de-Sainte-Thérèse","J7B0A6","Blainville","Laurentides","-73.80432032607591","45.65104717248283"
"71 Rue Gaston-Dumoulin","J7C6B4","Blainville","Laurentides","-73.84837952737686","45.67134792111479"
"498 Rue des Prairies","J5N3A1","Sainte-Anne-des-Plaines","Laurentides","-73.81339207355116","45.76962420874357"
"219 Rue des Campanules","G0A2R0","Neuville","Capitale-Nationale","-71.552192578043","46.71290527677"
"1546 Chemin de l'Étang-des-Caps","G4T0K3","Les Îles-de-la-Madeleine","Gaspésie–Îles-de-la-Madeleine","-62.0058054413332","47.2227734333884"
"134 2e Avenue","J5N0C2","Sainte-Anne-des-Plaines","Laurentides","-73.82235537641493","45.76416675011991"
"418 Rue Jacques-Lavigne","J7E5W5","Sainte-Thérèse","Laurentides","-73.82117566680715","45.64815748480547"
"498 Chemin de la Baie-des-Sables","G0Y1P0","Stratford","Estrie","-71.3577728914736","45.7810319368918"
"149 Chemin Chevarie (L'Étang-du-Nord)","G4T3T8","Les Îles-de-la-Madeleine","Gaspésie–Îles-de-la-Madeleine","-61.933572138664","47.3810929972937"
"59 Rue des Cortinaires","J7C5W4","Blainville","Laurentides","-73.83670723384849","45.65249545328808"
"194 Chemin du Domaine","J1H0C5","Sherbrooke","Estrie","-71.8387225290755","45.4283214858002"
"860 Rang Mailloux","G0R4A0","Saint-Philémon","Chaudière-Appalaches","-70.4909777903242","46.6945030781739"
"848 2e Rang","G0A2R0","Neuville","Capitale-Nationale","-71.6379111531093","46.7232365406878"
